link,marca_model,marca,model,pret,an,km,combustibil,cutie,caroserie,capacitate_cc,putere_cp
https://www.autovit.ro/autoturisme/anunt/renault-megane-ver-blue-dci-116-edc-zen-ID7Hyu5V.html,Renault Megane Blue dCi 116 EDC Zen,Renault,Megane Blue dCi 116 EDC Zen,15 990 EUR,2025,95960,Diesel,Automata,Compacta,14613,116
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-cla-ver-180-7g-dct-amg-line-advanced-plus-ID7HHFAh.html,Mercedes-Benz CLA 180 7G-DCT AMG Line Advanced Plus,Mercedes-Benz,CLA 180 7G-DCT AMG Line Advanced Plus,"27 491,20 EUR",2025,160000,Benzina,Automata,Sedan,13323,136
https://www.autovit.ro/autoturisme/anunt/opel-crossland-x-ver-1-2-automatik-ultimate-ID7HI7hG.html,Opel Crossland 1.2 Automatik Ultimate,Opel,Crossland 1.2 Automatik Ultimate,13 990 EUR,2023,64000,Benzina,Automata,SUV,11993,130
https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ID7HGWc6.html,BMW Seria 5,BMW,Seria 5,5 900 EUR,2025,330000,Diesel,Automata,Sedan,19953,177
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-ID7HHYAt.html,Mercedes-Benz GLE,Mercedes-Benz,GLE,84 216 EUR,2025,38636,Hibrid Plug-In,Automata,SUV,19933,320
https://www.autovit.ro/autoturisme/anunt/mazda-cx-5-ID7HHOc5.html,Mazda CX-5,Mazda,CX-5,27 950 EUR,2025,33874,Benzina,Automata,SUV,19983,165
https://www.autovit.ro/autoturisme/anunt/bmw-bmw-x4m-ver-m40i-ID7HHbFq.html,BMW X4 M M40i,BMW,X4 M M40i,"34 999,25 EUR",2025,108589,Benzina,Automata,SUV,29983,354
https://www.autovit.ro/autoturisme/anunt/peugeot-308-ver-1-6-bluehdi-fap-stt-active-ID7HI1ZM.html,Peugeot 308 1.6 BlueHDi FAP STT Active,Peugeot,308 1.6 BlueHDi FAP STT Active,7 100 EUR,2015,172500,Diesel,Manuala,Combi,15603,120
https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HH8ZU.html,BMW Seria 3,BMW,Seria 3,3 499 EUR,2008,261000,Diesel,Manuala,Combi,19953,163
https://www.autovit.ro/autoturisme/anunt/suzuki-grand-vitara-ver-1-9-ddis-navi-ID7HtYsf.html,Suzuki Grand Vitara 1.9 DDIS Navi,Suzuki,Grand Vitara 1.9 DDIS Navi,4 200 EUR,2007,229300,Diesel,Manuala,SUV,18703,129
