marca,model,pret,an,km,combustibil,cutie,caroserie,capacitate_cc,putere_cp,pret_per_cp,pret_per_cc,km_per_year
Renault,Megane,0.18352120112950251,2025,0.23989809974524937,Diesel,Automata,Compacta,0.3127777777777778,0.3343558282208589,0.025843773945207347,0.2510825663504066,0.24870916825567
BMW,Seria,0.06770127872540692,2025,0.8249995624989063,Diesel,Automata,Sedan,0.6094444444444445,0.5214723926380368,0.006265342697469558,0.06782632647099783,0.8552945102736744
Mercedes-Benz,GLE,0.9666659014210612,2025,0.09658774146935367,Hibrid Plug-In,Automata,SUV,0.6083333333333334,0.9601226993865031,0.049614725381494106,0.9695752202476081,0.10013670993298972
BMW,Seria,0.04014095824054731,2008,0.6524991312478281,Diesel,Manuala,Combi,0.6094444444444445,0.4785276073619632,0.004031632593453902,0.04021044090074844,0.037580976661127835
Volkswagen,Sharan,0.0745884891756009,2025,0.6549991374978438,Diesel,Manuala,Monovolum,0.5944444444444446,0.4079754601226994,0.00871513331800084,0.07575291039780485,0.6790519737105899
Ford,Kuga,0.08951077848435456,2020,0.5199987999969999,Diesel,Manuala,SUV,0.6105555555555555,0.4079754601226994,0.010458847712313172,0.0895899659072493,0.08984898382812104
Volvo,S80,0.10317041254390596,2012,0.4499986249965625,Diesel,Automata,Sedan,0.6033333333333333,0.4785276073619632,0.01036389215828894,0.10394014914838855,0.03332301621895247
Ford,Ranger,0.6388805987281619,2025,0.0,Diesel,Automata,SUV,0.6100000000000001,0.6073619631901841,0.05109729020912338,0.6398365430455191,2.439343066617087e-06
BMW,X3,0.17789664592851076,2016,0.6749991874979687,Diesel,Automata,SUV,0.6094444444444445,0.5613496932515337,0.015344478417601486,0.17824386144575594,0.06997850176463602
BMW,Seria,0.16630317500401753,2018,0.489918724796812,Benzina,Automata,Sedan,0.3338888888888889,0.3957055214723927,0.0199997362025626,0.2217584609039018,0.06348862953590126
Skoda,Fabia,0.07171881815468674,2015,0.5574988937472344,Diesel,Manuala,Combi,0.2911111111111111,0.3006134969325154,0.011147855323128167,0.10081070899497331,0.052542742799838886
Dacia,Duster,0.15895681719047727,2025,0.24624811562028906,Benzina,Manuala,SUV,0.38888888888888895,0.32822085889570557,0.022773903519902966,0.19883179997940226,0.25529234535670287
Volvo,EX30,0.5416561445395901,2025,1.00000250000625e-05,Electric,Automata,SUV,0.6018489494605339,0.4386503067484663,0.05910155064715972,0.546481309567233,1.2806551099739708e-05
Renault,Megane,0.11235335981083129,1980,0.49499873749684375,Diesel,Manuala,Combi,0.3127777777777778,0.3343558282208589,0.015821715276516754,0.15371386698752967,0.011155864881048983
Volvo,XC,0.37220781009665055,2018,0.28224820562051406,Diesel,Automata,SUV,0.595,0.5613496932515337,0.03210638423570699,0.3778708761114322,0.03657665338291908
Mercedes-Benz,GLC,0.21795725338047248,2017,0.46749866874667184,Diesel,Automata,SUV,0.6916666666666667,0.6042944785276074,0.017516081890779727,0.2033035371646892,0.05385173371311194
Volkswagen,Passat,0.17204251704584586,2025,0.632169080422701,Diesel,Automata,Sedan,0.5944444444444446,0.5613496932515337,0.014839482436550339,0.17474286297458508,0.655383637770971
BMW,X3,0.4132096696434721,2025,0.2829907074767687,Diesel,Automata,SUV,0.6094444444444445,0.5613496932515337,0.035643336479461295,0.41403130592310394,0.29338405947240365
Mercedes-Benz,A,0.35575885580477057,2025,0.27154567886419717,Hibrid Plug-In,Automata,Compacta,0.2416666666666667,0.647239263803681,0.026763496010616238,0.5334576245547372,0.2815187898784948
Mercedes-Benz,CLA,0.15252875410362957,2017,0.5722489306223265,Diesel,Automata,Sedan,0.6916666666666667,0.5214723926380368,0.014117256965963533,0.14227001804080874,0.065918011951663
Audi,A4,0.15607566748547946,2016,0.679999199998,Diesel,Automata,Combi,0.5944444444444446,0.5613496932515337,0.013462130652938291,0.1585243677997557,0.07049686216629215
Ford,Tourneo,0.44753093505360547,2025,0.06504766261915655,Diesel,Manuala,Monovolum,0.6100000000000001,0.3957055214723927,0.05382152943755387,0.4481971348899276,0.06743853579652098
Ford,Kuga,0.21803760416905807,2021,0.3417783544458861,Diesel,Automata,SUV,0.6100000000000001,0.5613496932515337,0.018807166546495325,0.21835630182125676,0.07086593477227132
Audi,A1,0.06827521292958975,2025,0.47749869374673437,Diesel,Manuala,Masina mica,0.38888888888888895,0.3006134969325154,0.010612593212247097,0.08539906520164303,0.4950340311226635
Volkswagen,Passat,0.07860602860488074,2012,0.685439213598034,Diesel,Manuala,Sedan,0.38888888888888895,0.3006134969325154,0.012218379544890308,0.09832178182189409,0.05075769807122668
BMW,Seria,0.1400169884524438,2025,0.586416466041165,Diesel,Automata,Coupe,0.6094444444444445,0.4386503067484663,0.015276935778920447,0.14028783379818285,0.6079510692174267
BMW,X5,0.19396680364563007,1905,0.47632619081547706,Diesel,Automata,SUV,0.6094444444444445,0.647239263803681,0.014591211961847872,0.19434641862957483,0.009682565745758757
Mercedes-Benz,CLA,0.3426157625289837,2025,0.11124777811944529,Benzina,Automata,Sedan,0.24111111111111116,0.4785276073619632,0.034419789904138305,0.5141352659335829,0.11533503690954748
Renault,Megane,0.13198190959388414,2025,0.42899857249643125,Diesel,Automata,Compacta,0.38888888888888895,0.4785276073619632,0.013258441695301496,0.1650891510265245,0.44475307216201876
Mercedes-Benz,C,0.20028007989164123,2052,0.35868339670849175,Diesel,Automata,Combi,0.6916666666666667,0.6042944785276074,0.016095330882971173,0.1868137793663075,0.37185604887711704
Volkswagen,Touran,0.09754585734291421,2014,0.6274990687476718,Diesel,Automata,Monovolum,0.5944444444444446,0.4079754601226994,0.011397770847712119,0.09907209828397215,0.05421170621426204
Renault,Megane,0.13485158061479832,2025,0.14349535873839683,Benzina,Manuala,Sedan,0.05611111111111111,0.32822085889570557,0.019320299291435535,0.26979870008935297,0.14876669101435966
Skoda,Enyaq,0.33171101264950986,2025,0.18674046685116713,Electric,Automata,SUV,0.6018489494605339,0.6042944785276074,0.026658706882586713,0.33466157558265275,0.19359968215359843
Ford,Kuga,0.17548612227094287,2022,0.4974987437468594,Diesel,Manuala,SUV,0.3338888888888889,0.34662576687116564,0.0238952035940807,0.23400375620472394,0.12894199745302093
Mercedes-Benz,C,0.1090130627424872,2025,0.2961907404768512,Benzina,Automata,Sedan,0.49888888888888894,0.5398773006134969,0.009760188300668991,0.12132444760352046,0.30706877407612554
Renault,Twingo,0.025230147615877316,2025,0.6274990687476718,Diesel,Manuala,Masina de oras,0.3127777777777778,0.17484662576687116,0.006397747205796406,0.034515733412652905,0.6505421516195027
